,Ploidy,Trt,Time,,,,,Ploidy match,Time match,Treatment match,,,,,,,estimate,SE,df,t.ratio,p.value
37,2M,Treatment12.5,1_start,3M,Treatment12.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.550046612,0.055688134,2556,-9.877267739,0
38,2M,Treatment12.5,1_start,3M,Treatment17.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.477444404,0.073766707,11,-6.472356203,0.00547681
39,2M,Treatment12.5,1_start,3C,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.381458917,0.073650853,11,-5.179287173,0.029949425
40,2M,Treatment12.5,1_start,3M,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.482247006,0.072928132,11,-6.612633451,0.00458934
41,2M,Treatment12.5,1_start,3M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.47090964,0.073703451,11,-6.389248216,0.006086323
42,2M,Treatment12.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.638189004,0.074870784,11,-8.523872298,0.000490911
43,2M,Treatment12.5,1_start,2M,Treatment12.5,2_end,,TRUE,FALSE,TRUE,TRUE,,,,,,-0.21866648,0.056666475,2556,-3.858833323,0.034627899
44,2M,Treatment12.5,1_start,3C,Treatment12.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.397520799,0.055842717,2556,-7.118579113,2.37E-10
45,2M,Treatment12.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.732054793,0.056322137,2556,-12.99763873,0
46,2M,Treatment12.5,1_start,3C,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.422870469,0.074257011,11,-5.694687478,0.015016488
47,2M,Treatment12.5,1_start,3M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.599786646,0.07425701,11,-8.077172084,0.000804122
48,2M,Treatment12.5,1_start,3C,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.441018621,0.075077926,11,-5.874144982,0.011850885
49,2M,Treatment12.5,1_start,3M,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.572399008,0.073677392,11,-7.768991168,0.00114173
50,2M,Treatment12.5,1_start,3M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.484470388,0.075017186,11,-6.45812535,0.00557644
51,3C,Treatment12.5,1_start,3M,Treatment12.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.301487069,0.055535026,2556,-5.428773391,2.61E-05
52,3C,Treatment12.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.389629461,0.074756624,11,-5.211972388,0.028656038
53,3C,Treatment12.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.483495251,0.056171742,2556,-8.607446225,0
54,3M,Treatment12.5,1_start,2M,Treatment17.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.623942532,0.073650837,11,8.471628472,0.000519627
55,3M,Treatment12.5,1_start,2M,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.506696328,0.075009063,11,6.755134722,0.003841554
56,3M,Treatment12.5,1_start,2M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.536670188,0.073302606,11,7.321297567,0.001928875
57,3M,Treatment12.5,1_start,2M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.479083749,0.074083958,11,6.466767695,0.00551571
58,3M,Treatment12.5,1_start,2M,Treatment12.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.331380132,0.056519,2556,5.86316342,2.20E-06
59,3M,Treatment12.5,1_start,2M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.501740032,0.074271257,11,6.755507479,0.003839776
60,3M,Treatment12.5,1_start,2M,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.440452495,0.075799691,11,5.810742622,0.012881546
61,3M,Treatment12.5,1_start,2M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.486543246,0.074344073,11,6.544479278,0.004999908
62,2M,Treatment17.5,1_start,3C,Treatment17.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.368981215,0.05649053,2556,-6.531735761,3.35E-08
63,2M,Treatment17.5,1_start,3M,Treatment17.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.551340324,0.055841289,2556,-9.873345295,0
64,2M,Treatment17.5,1_start,3C,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.455354837,0.073650853,11,-6.182614587,0.007931678
65,2M,Treatment17.5,1_start,3M,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.556142926,0.072928132,11,-7.625903878,0.001347407
66,2M,Treatment17.5,1_start,3C,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.364386576,0.073703451,11,-4.943955445,0.041192815
67,2M,Treatment17.5,1_start,3M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.54480556,0.073703451,11,-7.391859614,0.001773732
