,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
178,750,2,39,2,-0.260311123,39,251,11242023,1110,7,Blue,b,,,0.2009,-0.069353144,-0.190957979,0.95051259,NOHS,750
179,750,4,34,4,-0.268156018,34,217,11232023,1620,1,Green,i,,,0.326,-0.069353144,-0.198802874,0.609824768,NOHS,750
180,750,9,39,9,-0.13421339,39,256,11242023,1110,1,Green,b,,,0.2997,-0.069353144,-0.064860246,0.216417238,NOHS,750
181,750,7,34,7,-0.067402629,34,219,11232023,1620,1,Blue,i,,,0.086,-0.069353144,0.001950515,0,NOHS,750
182,750,4,38,4,-0.134939527,38,245,11242023,1000,7,Red,a,Skip first 5 mins,,0.2108,-0.069353144,-0.065586383,0.311130851,NOHS,750
183,750,8,34,8,-0.037047307,34,220,11232023,1620,1,Red,i,,,0.3158,-0.069353144,0.032305837,0,NOHS,750
184,750,5,34,5,-0.099682685,34,218,11232023,1620,1,Blue,i,,,0.1445,-0.069353144,-0.030329541,0.20989302,NOHS,750
185,750,5,35,5,-0.145260041,35,225,11232023,1740,12,Green,i,,,0.1425,-0.069353144,-0.075906897,0.532679981,NOHS,750
186,750,9,35,9,-0.358150606,35,228,11232023,1740,12,Red,i,,,0.1905,-0.069353144,-0.288797462,1.515997178,NOHS,750
187,750,5,38,5,-0.389965143,38,246,11242023,1000,7,Green,a,Skip first 5 mins,,0.1011,-0.069353144,-0.320611999,3.171236393,NOHS,750
188,750,5,39,5,-0.050136322,39,253,11242023,1110,12,Blue,b,,,0.5297,-0.069353144,0.019216822,0,NOHS,750
189,750,2,34,2,-0.095451505,34,216,11232023,1620,1,Green,i,,,0.2422,-0.069353144,-0.026098361,0.107755414,NOHS,750
